FIPS,Pop,Density,HH,pop_lt_5,pct_lt_5,pop_gt_65,pct_gt_65,MedAge,White,Pctwhite,Black,Pctblack,Hispanic,PctHispanic,PctImmigra,Unemployed,InLaborFocre,pct_unemployed,MdHHInc,PctVacant,PctHighSch,PctBA,PctGrad,Md_Value
470370101031 ,937,108.2418,382,28,0.029882604,251,0.267876201,50.1,918,0.979722519,0,0,0,0,0.004268943,12,463,0.025917927,65833,0,0.858666667,0.264,0.157333333,58600
470370101032 ,1690,170.724,611,105,0.062130178,282,0.166863905,44.3,1504,0.889940828,144,0.085207101,39,0.023076923,0.04260355,43,883,0.048697622,69803,0.025518341,0.89314845,0.264274062,0.10685155,62100
470370101041 ,1442,109.5925,678,85,0.058945908,272,0.188626907,48.2,1134,0.786407767,209,0.144937587,59,0.040915395,0.026352288,45,840,0.053571429,51477,0.11372549,0.883814103,0.280448718,0.133012821,70000
470370101042 ,1379,115.1655,545,100,0.072516316,241,0.174764322,52.4,1370,0.993473532,9,0.006526468,0,0,0.005076142,13,607,0.021416804,64728,0.037102473,0.885981308,0.197196262,0.042056075,71500
470370101051 ,663,218.6289,255,11,0.016591252,179,0.269984917,54,351,0.529411765,279,0.42081448,14,0.021116139,0.009049774,50,345,0.144927536,52270,0.072727273,0.830909091,0.263636364,0.114545455,75100
470370101052 ,2025,276.8914,790,24,0.011851852,481,0.237530864,48.8,276,0.136296296,1733,0.855802469,0,0,0.016790123,11,967,0.011375388,65938,0.12803532,0.937753721,0.447225981,0.205006766,76200
470370101053 ,838,1933.168,335,28,0.033412888,190,0.22673031,46.7,162,0.193317422,651,0.776849642,0,0,0.027446301,50,380,0.131578947,33417,0,0.748807631,0.155802862,0.089030207,78800
470370101054 ,731,4801.432,262,26,0.035567715,95,0.12995896,40.7,0,0,705,0.964432285,26,0.035567715,0,48,393,0.122137405,51818,0.14379085,0.898550725,0.169772257,0.105590062,84900
470370101061 ,1156,160.1025,375,90,0.077854671,117,0.101211073,38.9,546,0.472318339,395,0.341695502,216,0.186851211,0.045847751,32,609,0.052545156,51964,0.078624079,0.833333333,0.300254453,0.150127226,85600
470370101062 ,2101,1941.149,624,191,0.090909091,203,0.096620657,34.1,215,0.102332223,1752,0.833888624,0,0,0.018086625,55,920,0.059782609,45132,0.034055728,0.865755627,0.20659164,0.067524116,85900
